smiles,pKa,source
COCC1=C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O1,7.4,chembl26.sdf.gz
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C=C(C(F)F)OC(N)=N2)c1,6.4,chembl26.sdf.gz
C[C@@]1(c2ccccc2F)CCOC(N)=N1,9.8,chembl26.sdf.gz
O=C(NCCCCCCNC(=O)NS(=O)(=O)c1cccc(Cl)c1)NS(=O)(=O)c1cccc(Cl)c1,5.35,chembl26.sdf.gz
O=C(NCCCCCCCNC(=O)NS(=O)(=O)c1cccc(Cl)c1)NS(=O)(=O)c1cccc(Cl)c1,5.12,chembl26.sdf.gz
O=C(c1ccccc1)N1CCS1(=O)=O,6.3,chembl26.sdf.gz
O=C(Nc1ccc(C2CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)CC2)cc1)c1nc(-c2ccccc2)oc1C(F)(F)F,5.78,chembl26.sdf.gz
COc1ncc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,2.6,chembl26.sdf.gz
COc1cnc(OC)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2COP(=O)(O)O.NCCCC[C@H](N)C(=O)O,2.2,chembl26.sdf.gz
O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)nc1)CC2,3.95,chembl26.sdf.gz
COCCOCCCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.42,chembl26.sdf.gz
COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)oc2s1,5.57,chembl26.sdf.gz
CCCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.85,chembl26.sdf.gz
NS(=O)(=O)c1cc2cc(CNCc3ccccn3)sc2o1,7.02,chembl26.sdf.gz
COCCCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.25,chembl26.sdf.gz
COCCOCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)oc2s1,5.55,chembl26.sdf.gz
NS(=O)(=O)c1cc2cc(CNCCF)sc2o1,6.55,chembl26.sdf.gz
CCNCc1cc2cc(S(N)(=O)=O)oc2s1,8.05,chembl26.sdf.gz
CNCc1cc2cc(S(N)(=O)=O)oc2s1,7.85,chembl26.sdf.gz
NS(=O)(=O)c1cc2cc(CNCCCCO)sc2o1,7.65,chembl26.sdf.gz
CC(C)CNCc1cc2cc(S(N)(=O)=O)oc2s1,7.55,chembl26.sdf.gz
O=C(O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,9.36,chembl26.sdf.gz
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,7.9,chembl26.sdf.gz
COc1ccc(Cn2c(=O)n3ncnc3c3c4c(sc32)CN(CC2CCOCC2)CC4)cc1,6.6,chembl26.sdf.gz
O=C1Cn2c(cc3ccccc32)C(=O)N1O,7.27,chembl26.sdf.gz
COc1ccc2c(c1)cc1n2CC(=O)N(O)C1=O,7.27,chembl26.sdf.gz
O=C1Cn2c(cc3cc(F)ccc32)C(=O)N1O,7.27,chembl26.sdf.gz
O=C1Cn2c(cc3cc(Cl)ccc32)C(=O)N1O,7.27,chembl26.sdf.gz
O=C1Cn2c(cc3cc(O)ccc32)C(=O)N1O,7.27,chembl26.sdf.gz
O=C(O)C(=O)CC(=O)c1ccccc1,2.85,chembl26.sdf.gz
CCCCCS(=O)(=O)NC(=O)CCc1ccc(OCCOC)cc1Oc1ncc(C(F)(F)F)cc1Cl,4.6,chembl26.sdf.gz
CCCCCS(=O)(=O)NC(=O)OCCCc1ccc(OCCOC)cc1Oc1ncc(C(F)(F)F)cc1Cl,4.6,chembl26.sdf.gz
CC(C)n1nc(-c2cnc(N)c(C(F)(F)F)c2)cc1C1CCN(C2COC2)CC1,6.55,chembl26.sdf.gz
CC(C)n1nc(-c2cnc(N)c(C(F)(F)F)c2)cc1[C@H]1[C@@H]2CN(C3COC3)C[C@@H]21,5.9,chembl26.sdf.gz
CNC(=S)N(C)CCNc1c2ccccc2[nH+]c2ccccc12.O=[N+]([O-])[O-],9.0,chembl26.sdf.gz
CNC(=N)N(C)CCNc1c2ccccc2nc2ccccc12.Cl.Cl,9.0,chembl26.sdf.gz
Cc1c(NC2=NCCN2)ccc2c1NCCO2,11.1,chembl26.sdf.gz
Cc1c(NC2=NCCN2)ccc2nccnc12,9.4,chembl26.sdf.gz
Cc1c(NC2=NCCN2)ccc2c1NCCN2,11.3,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(N(C)CCN(C)C)ccc2c1,9.05,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(OCCN(C)C)ccc2c1,4.64,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(C(C)CCN(C)C)ccc2c1,6.56,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(NCCN(C)C)ccc2c1,12.19,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(SCCN(C)C)ccc2c1,4.33,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(CCCN(C)C)ccc2c1,8.98,chembl26.sdf.gz
CC(=O)Nc1ccc2nc(C(C)(C)CCN(C)C)ccc2c1,6.22,chembl26.sdf.gz
CS(=O)(=O)OCCCNCCCOS(C)(=O)=O.Cl,8.77,chembl26.sdf.gz
Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,5.1,chembl26.sdf.gz
S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,7.09,chembl26.sdf.gz
CC(C)CNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,9.2,chembl26.sdf.gz
CCNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,9.2,chembl26.sdf.gz
CCN(C)C(=O)[C@H]1C[C@@H](c2ccc(CN3CCCC3)c(F)c2)C1,9.3,chembl26.sdf.gz
CC(=O)N(C)C[C@H]1C[C@H](c2ccc(CN3CCCC3)c(Cl)c2)C1,9.3,chembl26.sdf.gz
c1cnc(OC[C@H]2C[C@H](c3ccc(CN4CCCC4)cc3)C2)nc1,9.8,chembl26.sdf.gz
c1cc([C@H]2C[C@@H](CN3CCOCC3)C2)ccc1CN1CCCC1,7.7,chembl26.sdf.gz
COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,4.0,chembl26.sdf.gz
CCC(c1ccccc1)N(CC)c1ccc(O)cn1,6.7,chembl26.sdf.gz
CCN(Cc1ccccc1)c1ncc(O)cn1,3.9,chembl26.sdf.gz
CCC(c1ccccc1)N(CC)c1ncc(O)cn1,3.9,chembl26.sdf.gz
CCN(Cc1ccccc1)c1ccc(O)cn1,6.7,chembl26.sdf.gz
O=C(/C=N/O)c1ccc(OCC2CCN(Cc3ccccc3)CC2)nc1,7.8,chembl26.sdf.gz
O=C(/C=N/O)c1cnc(OCC2CCN(Cc3ccccc3)CC2)nc1,7.6,chembl26.sdf.gz
O/N=C/c1ccc(OCC2CCN(Cc3ccccc3)CC2)nc1,11.2,chembl26.sdf.gz
O/N=C/c1cnc(OCC2CCN(Cc3ccccc3)CC2)nc1,10.7,chembl26.sdf.gz
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,9.5,chembl26.sdf.gz
