smiles,n_atoms,mw,src
Cn1cc([O-])nc1N,8,113.12000000000002,datawarrior.sdf.gz
Cn1cc(O)[nH+]c1N,8,113.12000000000002,datawarrior.sdf.gz
Nc1ccnc([O-])n1,8,111.10399999999998,datawarrior.sdf.gz
C1C[NH+]2CCN1CC2,8,112.17600000000002,datawarrior.sdf.gz
NC12CCC(CC1)C2,8,111.188,datawarrior.sdf.gz
C1=CN2CCC1CC2,8,109.17199999999998,datawarrior.sdf.gz
C[C@H]1C[C@@H]2CCN1C2,8,111.18799999999999,datawarrior.sdf.gz
C1CC2CCCN2C1,8,111.188,datawarrior.sdf.gz
C/C=C\C=C/C(=O)O,8,112.12799999999999,datawarrior.sdf.gz
CCC/C=C/C(=O)O,8,114.144,datawarrior.sdf.gz
CC#C/C=C/C(=O)O,8,110.112,datawarrior.sdf.gz
CC/C=C/CC(=O)O,8,114.14399999999999,datawarrior.sdf.gz
C/C=C/CCC(=O)O,8,114.14399999999999,datawarrior.sdf.gz
C#CCCCC(=O)O,8,112.128,datawarrior.sdf.gz
C=CC#CCC(=O)O,8,110.112,datawarrior.sdf.gz
C/C=C/C#CC(=O)O,8,110.11199999999998,datawarrior.sdf.gz
CC#CC#CC(=O)O,8,108.09599999999999,datawarrior.sdf.gz
CC(C)/C=C/C(=O)O,8,114.14399999999999,datawarrior.sdf.gz
CC(C)=CCC(=O)O,8,114.14399999999999,datawarrior.sdf.gz
CC(C)CCC(=O)O,8,116.16,datawarrior.sdf.gz
CC/C(C)=C\C(=O)O,8,114.144,datawarrior.sdf.gz
CC/C(C)=C/C(=O)O,8,114.144,datawarrior.sdf.gz
CCC(C)CC(=O)O,8,116.16,datawarrior.sdf.gz
CCC(C)(C)C(=O)O,8,116.16,datawarrior.sdf.gz
CCC(=O)CC(C)=O,8,114.14399999999999,datawarrior.sdf.gz
CC(=O)C(C)C(C)=O,8,114.14399999999999,datawarrior.sdf.gz
CC(C)C(=O)CC=O,8,114.14399999999999,datawarrior.sdf.gz
CC(C)C(Br)C(=O)O,8,181.02899999999997,datawarrior.sdf.gz
CCSC(C)C(=O)O,8,134.20000000000002,datawarrior.sdf.gz
CC(C)SCC(=O)O,8,134.20000000000002,datawarrior.sdf.gz
C[Si](C)(C)CC(=O)O,8,132.23499999999999,datawarrior.sdf.gz
CCCSCC(=O)O,8,134.2,datawarrior.sdf.gz
C=C(C)/C(C)=C(\C)O,8,112.17199999999998,datawarrior.sdf.gz
COC(=O)CC(C)=O,8,116.11599999999999,datawarrior.sdf.gz
CO/C(C)=C\C(=O)O,8,116.116,datawarrior.sdf.gz
O=CCCCC(=O)O,8,116.116,datawarrior.sdf.gz
NC(=N\O)/C(N)=N/O,8,118.096,datawarrior.sdf.gz
CNCC(C)CNC,8,116.208,datawarrior.sdf.gz
CC(C)(N)C(C)(C)N,8,116.208,datawarrior.sdf.gz
CCCCNCCN,8,116.20800000000001,datawarrior.sdf.gz
CCNCCNCC,8,116.208,datawarrior.sdf.gz
NCCCCCCN,8,116.20800000000001,datawarrior.sdf.gz
CCN(CC)CCN,8,116.20800000000001,datawarrior.sdf.gz
CNCC(C)C[NH2+]C,8,116.208,datawarrior.sdf.gz
CC(C)(N)C(C)(C)[NH3+],8,116.208,datawarrior.sdf.gz
CCCC[NH2+]CCN,8,116.20800000000001,datawarrior.sdf.gz
CCNCC[NH2+]CC,8,116.208,datawarrior.sdf.gz
CN(C)CC[NH+](C)C,8,116.208,datawarrior.sdf.gz
NCCCCCC[NH3+],8,116.20800000000001,datawarrior.sdf.gz
CC[NH+](CC)CCN,8,116.20800000000001,datawarrior.sdf.gz
CC([N+](=O)[O-])[N+](=O)[O-],8,120.064,datawarrior.sdf.gz
CC(=N\O)/C(C)=N/O,8,116.11999999999999,datawarrior.sdf.gz
CCCCN[N+](=O)[O-],8,118.13600000000001,datawarrior.sdf.gz
CC(C)CN[N+](=O)[O-],8,118.136,datawarrior.sdf.gz
CC(=N\[O-])/C(C)=N/O,8,116.11999999999999,datawarrior.sdf.gz
CC(Br)(CN)[N+](=O)[O-],8,183.005,datawarrior.sdf.gz
NCCNCCCO,8,118.18,datawarrior.sdf.gz
CC(O)CNCCN,8,118.18,datawarrior.sdf.gz
CC(C)C(N)C(N)=O,8,116.16399999999999,datawarrior.sdf.gz
CNCC(=O)N(C)C,8,116.16399999999999,datawarrior.sdf.gz
CC(O)=C(C#N)C#N,8,108.1,datawarrior.sdf.gz
CC(C)(C)/C(N)=N/O,8,116.16399999999999,datawarrior.sdf.gz
NCCCNCCO,8,118.18000000000002,datawarrior.sdf.gz
NCC[NH2+]CCCO,8,118.18,datawarrior.sdf.gz
CC(O)CNCC[NH3+],8,118.18,datawarrior.sdf.gz
C/C(O)=N\[N+](C)(C)C,8,117.172,datawarrior.sdf.gz
C/C(CN(C)C)=N\[O-],8,116.164,datawarrior.sdf.gz
NCCC[NH2+]CCO,8,118.18000000000002,datawarrior.sdf.gz
O=C(/C=N/O)/C=N/O,8,116.076,datawarrior.sdf.gz
C/C(=N\O)C(=O)NO,8,118.09199999999998,datawarrior.sdf.gz
C/C(=N\O)C(=O)[N-]O,8,118.09199999999998,datawarrior.sdf.gz
C#CCCCCCN,8,111.18799999999999,datawarrior.sdf.gz
CCCCC[C@H](C)N,8,115.22,datawarrior.sdf.gz
CCC(C)NC(C)C,8,115.22,datawarrior.sdf.gz
CC(C)CNC(C)C,8,115.21999999999998,datawarrior.sdf.gz
C#CCCCN(C)C,8,111.18799999999999,datawarrior.sdf.gz
CN(C)CC(C)(C)C,8,115.21999999999998,datawarrior.sdf.gz
CN(C)CC(Cl)CCl,8,156.056,datawarrior.sdf.gz
CCCCSCCN,8,133.26000000000002,datawarrior.sdf.gz
CCN(CC)CCBr,8,180.08899999999997,datawarrior.sdf.gz
CC(C)CSCCN,8,133.26,datawarrior.sdf.gz
CCN(CC)CC[S-],8,133.26,datawarrior.sdf.gz
CC[NH+](CC)CCS,8,133.26,datawarrior.sdf.gz
O=[N+]([O-])C(CO)CO,8,121.092,datawarrior.sdf.gz
[O-][N+]([O-])=C(CO)CO,8,120.08399999999999,datawarrior.sdf.gz
CCCNCC(=O)O,8,117.148,datawarrior.sdf.gz
CC(C)C(N)C(=O)O,8,117.148,datawarrior.sdf.gz
CC/C(=N/O)C(C)=O,8,115.13199999999999,datawarrior.sdf.gz
CC(O)CNCCO,8,119.16399999999999,datawarrior.sdf.gz
CCOC(=O)C(C)N,8,117.14800000000001,datawarrior.sdf.gz
CCOC(=O)[C@H](C)N,8,117.14800000000001,datawarrior.sdf.gz
CC(C#N)CC(=O)O,8,113.116,datawarrior.sdf.gz
